date,user_id,event_name,mobile_os_type,version
12/30/2019,25f299128c61fad242d2e80f920d5526,push_received,U683CL,11.3.1
12/30/2019,b9abdfeca260f8d5c282c8dd3ed416a6,push_received,U683CL,11.3.1
12/31/2019,f48972c96e949e297f20dcb1f18905a5,push_received,L51,11.3.1
12/30/2019,09ae7a62a0353a9a8ac60b6877e6501d,push_received,U683CL,11.3.1
12/31/2019,6165741971f70a57f40abb6215782e12,push_received,U683CL,11.3.1
12/30/2019,cd087849b58e653ef90b14f65d5fd42b,push_clicked,U683CL,11.3.1
12/30/2019,60f479d3afcc169e08c5224b34b6c90c,push_received,U683CL,11.3.1
12/30/2019,4dd5b8fb5a99e03c7a6ece9073ccb278,push_received,U683CL,11.3.1
12/30/2019,7da475d584fd5ddccd5b1f01c1bac6e3,push_received,U683CL,11.3.0
12/31/2019,1f63dd573ac2a94effe330769c456b2d,user_engagement,U683CL,11.3.0
12/31/2019,cfc59c7d603ac4d8e8da42504db58804,push_received,U683CL,11.3.1
12/31/2019,a348eda41926beb33062c2cb5a9fad2f,push_received,U683CL,11.3.1
12/31/2019,f44d7b758f402128bb3c4dab77655b3d,push_received,U683CL,11.3.1
12/30/2019,4e849b4165d10e08e4cdf2bf71e794f3,push_received,U683CL,11.3.1
12/31/2019,e995b5405b8462f6f8f3d15a69829bc8,push_received,U683CL,11.3.1
12/30/2019,6066300b257df6eb654b1ddc8e0a1cc4,user_engagement,L51,11.3.1
12/30/2019,d076e3b9611f9e9c5cd02a8312af1373,push_received,L51,11.3.1
12/30/2019,57d09534df1e1bbe3e866a410e7b75b3,session_start,L51,11.3.1
12/30/2019,7d1fd62ff51122978c7633d9ba084239,push_received,U683CL,11.3.1
12/30/2019,1d59dd4b067acffea630f86767e0435b,push_received,U683CL,11.3.1
12/30/2019,15527aa906ea4980a13b67d428edaf3c,screen_view,L51,11.3.0
12/31/2019,0cad2bb4d9244f22d6ebc95432feb69e,push_received,U683CL,11.3.1
12/31/2019,77e41d3c8bd5ad1792f7a554065eb0af,push_received,L51,11.3.1
12/30/2019,d3486b44a708d1f779f0c9815837e4e1,push_received,L51,11.3.1
12/30/2019,7145188c24cb2b1a5bf3ed99da4c40a8,push_received,L51,11.3.1
12/30/2019,7e4638833d44dbd390cdb73256d13430,push_received,U683CL,11.3.1
12/31/2019,97c0a8f062616f4650010b704a3d4d10,push_received,U683CL,11.3.1
12/31/2019,10f6b4e15d6f5d3e4acf820b5cda18bd,push_received,U683CL,11.3.1
12/30/2019,432273d5ff059ea99e4df0aeb27385ec,user_engagement,U683CL,11.3.1
12/31/2019,e03d46ea3c6ea61c9d9b5f97381d4f9f,push_received,U683CL,11.3.0
12/30/2019,408d3f513fc278a1a252315917209626,push_received,L51,11.3.1
12/31/2019,702b0fe7d8f98bc4255faa5b45e5c7dd,user_engagement,U683CL,11.3.1
12/31/2019,303387b6b2075b3f23eb017005fc25b6,model_view,U683CL,11.3.1
12/30/2019,00c159453b245d36657d6990177f1edf,session_start,U683CL,11.3.1
12/30/2019,110ea08433f0aaf53c8221e85de7aa51,push_received,U683CL,11.3.1
12/31/2019,5ecd5a4a5e4794b1645b50b1bdded567,push_received,U683CL,11.3.1
12/30/2019,dee11e92f46e0408b190b11bf055669d,push_received,U683CL,11.3.1
12/31/2019,4c93bd61df8838b2b131fc78fa470b3c,push_received,U683CL,11.3.1
12/31/2019,76c2f766c8c966c664202a9d0d58e94f,session_start,U683CL,11.3.1
12/30/2019,263d67ac864beed6c9ca1fca346605a7,user_engagement,U683CL,11.3.1
12/30/2019,a6786b14a301c34f130d6e160c1c26fb,push_received,U683CL,11.3.1
12/30/2019,0fb5a2dc7aebf50f2368e150c7eddf21,push_received,U683CL,11.3.1
12/30/2019,01ea4b1a4f27510c2e425b960a6db625,push_received,U683CL,11.3.1
12/31/2019,b8ca0ab4eabf290af505d77ee4cffffa,push_received,U683CL,11.3.1
12/30/2019,f234f825fa9e4f7f42655f7d41468d22,push_received,U683CL,11.3.1
12/31/2019,27d288a0f4785121243b20954dcfda62,push_received,L51,11.3.1
12/31/2019,141a1e735f3758bee8c11905fed84de5,push_received,U683CL,11.3.1
12/30/2019,a3662629377abfe6af8c1f1cf017ea76,screen_view,L51,11.3.1
12/31/2019,6c4e0afe0d82d470f54d6fbdfb3a2f0d,push_received,U683CL,11.3.1
12/31/2019,150c37dd1437695fdbcf55fb676a19ea,push_received,U683CL,11.3.1
12/31/2019,98c428402e0f3d1eda827adae459cbe3,push_received,L51,11.3.1
12/30/2019,9c5b71e592f343e7d8b189e3b4302d6f,model_view,U683CL,11.3.1
12/31/2019,58f368784eb8fd95c1e64afa7fbb6a8f,push_received,L51,11.3.1
12/31/2019,6aa3809c17b11ac7621471741f0f52ef,user_engagement,U683CL,11.3.1
12/30/2019,a5b083f78e154ba55509b02f6d7248f6,push_received,L51,11.3.1
12/30/2019,7c478349eabb10af335cd510e2c808c3,user_engagement,U683CL,11.3.1
12/30/2019,6f330b5e2d1d91425a1c4591cd70fd60,screen_view,U683CL,11.3.1
12/30/2019,e2c5f10bce39f32374076c6ee557daa1,push_received,U683CL,11.3.1
12/31/2019,6a77f5a7111e382bca7f3f55aaeee402,headlines_navigate,LM-V405,11.3.1
12/31/2019,82d4edf6968caff407a2000ecadd6beb,user_engagement,U683CL,11.3.1
12/31/2019,9b71a52b8e137fa24e8eeedc391142bb,screen_view,U683CL,11.3.1
12/30/2019,72767f48fd37961b86fafa5d85d4e3bc,push_received,U683CL,11.3.0
12/31/2019,6d00ca9c80c62103e5e9b16176a9a40a,screen_view,U683CL,11.3.0
12/30/2019,2207660f75be1b6c459e800c126b1b81,user_engagement,U683CL,11.3.1
12/31/2019,783f36f76dccb95da226766ccb791c63,user_engagement,U683CL,11.3.1
12/30/2019,30f0ad68c7d368db68f6bd750ee602ae,push_received,U683CL,11.3.1
12/30/2019,0af33d1a5e9c72c9f047596c7b672012,push_received,U683CL,11.3.1
12/31/2019,4ff7a85e7ac0ccc7139d9a2f94932314,push_received,U683CL,11.3.1
12/30/2019,2375c52b8fc9ec349743ca82b94b1812,push_received,U683CL,11.3.0
12/30/2019,17a5f2995bc47ce59bb1c12e1e82664c,push_received,U683CL,11.3.1
12/31/2019,8029470988ce831a93630ff4378f9ba5,push_received,U683CL,11.3.1
12/30/2019,d37c79e8e6d71e805b45b784d023b18b,push_received,L51,11.3.1
12/30/2019,a9f3f3704a8dda345bd3fbd40c761a75,top_news_swipe,L51,11.3.1
12/31/2019,1efb3cac4b5881a03c412de6e6a00f59,push_received,U683CL,11.3.1
12/31/2019,e3c8a64e34c0a6690ab85ebee7be4667,push_received,L51,11.3.1
12/30/2019,ad2c1b7793d30ca3fd07c22ee3d85afd,dynamic_item_clicked,U683CL,11.3.1
12/31/2019,a67a6233cde299ac471d1324c7b718b2,push_received,U683CL,11.3.1
12/30/2019,97fdbffcfe9b34b152e8499d28ddca6a,push_received,L51,11.3.1
12/31/2019,d5fb5f1d931b19d44605845ef11e69c4,push_received,U683CL,11.3.1
